Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
198,ABW,Aruba,Oranjestad,North America,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611,0.9991,0.0,Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,35.49,0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2,11.03,6.68,4,333,663
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1,12.14,7.51,38,262,0.7
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0.00,2,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3,8.74,9.76,18,304,678
91,AZE,Azerbaijan,Baku,Asia,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13,Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0.00,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1,20.74,9.75,141,457,402
176,BHS,Bahamas,Nassau,North America,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01,Bahamas. The ,LATIN AMER. & CARIB    ,303770,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9
154,BHR,Bahrain,Manama,Asia,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02,Bahrain ,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,5,387,608
8,BGD,Bangladesh,Dhaka,Asia,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1160.035,1.0108,2.15,Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.40,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,199,198,603
186,BRB,Barbados,Bridgetown,North America,281635,280693,278083,274711,264657,258868,253575,241397,430,654.9651,1.0015,0.0,Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78
96,BLR,Belarus,Minsk,Europe,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,45.9295,0.9955,0.12,Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0.00,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,93,316,591
81,BEL,Belgium,Brussels,Europe,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,381.8111,1.0038,0.15,Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,749
177,BLZ,Belize,Belmopan,North America,405272,394921,359871,322106,240406,182589,145133,120905,22966,17.6466,1.0131,0.01,Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,1.68,0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,142,152,612
77,BEN,Benin,Porto-Novo,Africa,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,118.5635,1.0274,0.17,Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0,85,1100.0,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,316,138,546
206,BMU,Bermuda,Hamilton,North America,64184,64031,63144,63447,61371,57470,53565,52019,54,1188.5926,1.0,0.0,Bermuda ,NORTHERN AMERICA                   ,65773,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2,11.4,7.74,0.01,0.1,0.89
165,BTN,Bhutan,Thimphu,Asia,782455,772506,743274,705516,587207,558442,415257,298894,38394,20.3796,1.0064,0.01,Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.00,0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2,33.65,12.7,258,379,363
80,BOL,Bolivia,Sucre,South America,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11.1272,1.012,0.15,Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.00,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,128,352,0.52
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209,63.1437,0.9886,0.04,Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88.0,0.04,0.31,21.05,6100.0,,215.4,13.6,2.96,83.44,4,8.77,8.27,142,308,0.55
144,BWA,Botswana,Gaborone,Africa,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,4.5194,1.0162,0.03,Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0.00,0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,24,469,507
7,BRA,Brazil,Brasilia,South America,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767,25.2841,1.0046,2.7,Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,84,0.4,516
221,VGB,British Virgin Islands,Road Town,North America,31305,30910,29366,27556,20104,15617,11109,9581,151,207.3179,1.0059,0.0,British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,20.0,6.67,73.33,2,14.89,4.42,18,62,0.92
221,VGB,British Virgin Islands,Road Town,North America,31305,30910,29366,27556,20104,15617,11109,9581,151,207.3179,1.0059,0.0,Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,9.84,-8.94,8.03,17200.0,,652.8,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8
175,BRN,Brunei,Bandar Seri Begawan,Asia,449002,441725,421437,396053,333926,261928,187921,133343,5765,77.8841,1.0081,0.01,Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,36,561,403
108,BGR,Bulgaria,Sofia,Europe,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879,61.1654,0.9849,0.09,Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,93,304,603
58,BFA,Burkina Faso,Ouagadougou,Africa,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.0641,1.0259,0.28,Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0.00,0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2,45.62,15.6,322,196,482
78,BDI,Burundi,Bujumbura,Africa,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,463.0874,1.027,0.16,Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0.00,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,463,203,334
73,KHM,Cambodia,Phnom Penh,Asia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,92.6221,1.0108,0.21,Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35
53,CMR,Cameroon,Yaounde,Africa,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,58.7128,1.0263,0.35,Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,448,0.17,382
